"Aggregated: Adapter Connections","Aggregated: Asset Name","Aggregated: Host Name","Aggregated: Last Seen","Aggregated: Network Interfaces: MAC","Aggregated: Network Interfaces: IPs","Aggregated: OS: Type","Aggregated: Tags"
"cisco_adapter
nagios_xi_adapter
paloalto_xdr_adapter
vmware_vrops_adapter","9VM-MDF2-ECAR-GRABACION
DATA CENTER","9VM-MDF2-ECAR-GRABACION","2025-03-13 06:02:02","00:0C:29:F7:DE:D7","10.188.17.170","Windows",""
"cisco_adapter
nagios_xi_adapter
paloalto_xdr_adapter
vmware_vrops_adapter","9VM-MDF2-ECAR-VERINT
RECORDER R9","9VM-MDF2-ECAR-VERINT","2025-03-13 06:02:05","00:0C:29:BC:54:54","10.188.17.166","Windows",""
"active_directory_adapter
cisco_adapter
deep_security_adapter
paloalto_xdr_adapter","SVVUW0106S3MXCO","SVVUW0106S3MXCO","2025-03-13 06:03:18","00:90:FB:63:B2:84","10.188.60.195","Windows",""
"active_directory_adapter
cisco_adapter
deep_security_adapter
paloalto_xdr_adapter","VFO600606ALMXCO","VFO600606ALMXCO","2025-03-13 06:01:59","F4:39:09:85:9F:D7
20:16:B9:C3:96:79
22:16:B9:C3:96:78
20:16:B9:C3:96:78","10.188.62.176","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VIHG01X08ADMXCO","VIHG01X08ADMXCO","2025-03-13 05:59:52","6C:4B:90:BA:3E:6C","10.188.132.10","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VA515A5A16ALMXC","VA515A5A16ALMXC","2025-03-13 06:01:00","00:2B:67:53:4E:76","10.188.162.219","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAJ2E8116ALMXCO","VAJ2E8116ALMXCO","2025-03-13 06:01:38","98:FA:9B:3C:C8:B9","10.188.162.37","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VA531B616ALMXC0","VA531B616ALMXC0","2025-03-13 06:01:52","E8:6A:64:24:0B:97","10.188.162.131","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VA4F6AB16ALMXCO","VA4F6AB16ALMXCO","2025-03-13 02:16:40","E8:6A:64:F9:BB:85","10.188.161.16
10.188.220.159","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAGBCD816ALMXCO","VAGBCD816ALMXCO","2025-03-13 05:59:26","EC:8E:B5:9D:FA:A5","10.188.162.254","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VABEF3A16ALMXCO","VABEF3A16ALMXCO","2025-03-13 01:11:07","5C:87:9C:F8:35:D6","10.188.223.125
10.188.218.2","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VFG100B09ADMXCO","VFG100B09ADMXCO","2025-03-13 02:26:39","E0:BE:03:1E:0E:C4","10.188.92.35","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VB363C916ALMXCO","VB363C916ALMXCO","2025-03-13 04:12:35","00:2B:67:53:45:00","10.188.162.134","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VA91136116ALMXC","VA91136116ALMXC","2025-03-13 01:00:54","00:2B:67:53:4E:2C
E4:5E:37:15:E0:82","10.188.162.125
10.253.38.134","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISF63108ADMXCO","VISF63108ADMXCO","2025-03-13 06:01:20","18:60:24:ED:C1:BA","10.188.82.125","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VISXXAF08ADMXCO","VISXXAF08ADMXCO","2025-03-13 06:00:12","10:E7:C6:B9:8F:A8","10.188.82.66","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VAI1067916ALMXC","VAI1067916ALMXC","2025-03-13 04:26:48","E8:6A:64:11:73:50","10.188.161.24","Windows",""
"cisco_adapter
nagios_xi_adapter
paloalto_xdr_adapter","CAFIPPCAAPS001","CAFIPPCAAPS001","2025-03-13 06:00:15","9C:8E:99:56:98:72","10.188.7.223","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VDR102AB1ALMXCO","VDR102AB1ALMXCO","2025-03-13 02:26:27","E8:6A:64:FC:21:0C","10.188.162.240","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VALD91C12ALMXCO","VALD91C12ALMXCO","2025-03-13 06:08:17","60:45:2E:9C:70:F7
F4:A8:0D:DD:1D:E5","10.188.122.15
10.188.224.145","Windows",""
"active_directory_adapter
cisco_adapter
paloalto_xdr_adapter","VR3326513ALMXCO","VR3326513ALMXCO","2025-03-13 06:02:40","00:2B:67:53:2F:14","10.188.136.10","Windows",""
