"Aggregated: Asset Unique ID","Aggregated: Adapter Connections","Aggregated: Preferred Host Name","Aggregated: Installed Software: Software Name","Aggregated: Installed Software: Software Version","Aggregated: Installed Software: End of Life","Aggregated: Installed Software: End Of Support Date","Aggregated: Preferred IPs","Aggregated: Preferred MAC Address","Aggregated: Preferred OS: Type and Distribution"
"7f58b9fcbe35616e6028f2d710a5908d","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHVHPCCORPAP01","python","2.7.5","2020-01-01 00:00:00","","10.191.211.27","00:50:56:86:0D:DF","Linux Red Hat 7.9"
"7f58b9fcbe35616e6028f2d710a5908d","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHVHPCCORPAP01","postfix","2.10.1","2017-02-28 00:00:00","","10.191.211.27","00:50:56:86:0D:DF","Linux Red Hat 7.9"
"2290ab99f063b97d0167aa5e4e83708b","cisco_apic_adapter
cisco_apic_adapter
cisco_apic_adapter
deep_security_adapter
nagios_xi_adapter
nagios_xi_adapter
nagios_xi_adapter
nessus_adapter
network_scanner_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHFHWDBASRBD01.TELCELCLOUD.DT","python","2.7.5","2020-01-01 00:00:00","","10.59.200.46
10.59.38.34
10.59.38.37
10.59.38.39
10.59.38.43
172.16.25.11","8C:FD:18:DF:50:58
8C:FD:18:DF:50:5A","Linux Red Hat 7.9"
"2290ab99f063b97d0167aa5e4e83708b","cisco_apic_adapter
cisco_apic_adapter
cisco_apic_adapter
deep_security_adapter
nagios_xi_adapter
nagios_xi_adapter
nagios_xi_adapter
nessus_adapter
network_scanner_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHFHWDBASRBD01.TELCELCLOUD.DT","postfix","2.10.1","2017-02-28 00:00:00","","10.59.200.46
10.59.38.34
10.59.38.37
10.59.38.39
10.59.38.43
172.16.25.11","8C:FD:18:DF:50:58
8C:FD:18:DF:50:5A","Linux Red Hat 7.9"
"33f4f3fc7b0c909d4ffad17b4aef2539","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","ITHHWHUEPRO18","Apache Log4j","1.2.16","2015-10-15 00:00:00","","10.119.249.107","FA:16:3E:12:A4:00","Linux Red Hat 7.9"
"33f4f3fc7b0c909d4ffad17b4aef2539","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","ITHHWHUEPRO18","python","2.7.5","2020-01-01 00:00:00","","10.119.249.107","FA:16:3E:12:A4:00","Linux Red Hat 7.9"
"33f4f3fc7b0c909d4ffad17b4aef2539","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","ITHHWHUEPRO18","python","2.7.5.93.el7.9","2020-01-01 00:00:00","","10.119.249.107","FA:16:3E:12:A4:00","Linux Red Hat 7.9"
"33f4f3fc7b0c909d4ffad17b4aef2539","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","ITHHWHUEPRO18","postfix","2.10.1","2017-02-28 00:00:00","","10.119.249.107","FA:16:3E:12:A4:00","Linux Red Hat 7.9"
"33f4f3fc7b0c909d4ffad17b4aef2539","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","ITHHWHUEPRO18","postfix","2.10.1.9.el7","2017-02-28 00:00:00","","10.119.249.107","FA:16:3E:12:A4:00","Linux Red Hat 7.9"
"33f4f3fc7b0c909d4ffad17b4aef2539","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","ITHHWHUEPRO18","firefox","115.3.1","2024-10-01 00:00:00","","10.119.249.107","FA:16:3E:12:A4:00","Linux Red Hat 7.9"
"33f4f3fc7b0c909d4ffad17b4aef2539","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","ITHHWHUEPRO18","firefox","115.3.1.1.el7.9","2024-10-01 00:00:00","","10.119.249.107","FA:16:3E:12:A4:00","Linux Red Hat 7.9"
"33f4f3fc7b0c909d4ffad17b4aef2539","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","ITHHWHUEPRO18","Apache Log4j","1.2.17","2015-10-15 00:00:00","","10.119.249.107","FA:16:3E:12:A4:00","Linux Red Hat 7.9"
"e27833602ea35bad97071343cdc8f60a","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","IXVPECIAPS001","python","2.7.5","2020-01-01 00:00:00","","10.191.33.94","00:50:56:86:A8:23","Linux Red Hat 7.9"
"e27833602ea35bad97071343cdc8f60a","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","IXVPECIAPS001","python","2.7.5.94.el7.9","2020-01-01 00:00:00","","10.191.33.94","00:50:56:86:A8:23","Linux Red Hat 7.9"
"e27833602ea35bad97071343cdc8f60a","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","IXVPECIAPS001","postfix","2.10.1","2017-02-28 00:00:00","","10.191.33.94","00:50:56:86:A8:23","Linux Red Hat 7.9"
"e27833602ea35bad97071343cdc8f60a","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","IXVPECIAPS001","postfix","2.10.1.9.el7","2017-02-28 00:00:00","","10.191.33.94","00:50:56:86:A8:23","Linux Red Hat 7.9"
"e27833602ea35bad97071343cdc8f60a","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","IXVPECIAPS001","Apache Log4j","1.2.9","2015-10-15 00:00:00","","10.191.33.94","00:50:56:86:A8:23","Linux Red Hat 7.9"
"e27833602ea35bad97071343cdc8f60a","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","IXVPECIAPS001","Apache Log4j","1.2.15","2015-10-15 00:00:00","","10.191.33.94","00:50:56:86:A8:23","Linux Red Hat 7.9"
"e27833602ea35bad97071343cdc8f60a","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","IXVPECIAPS001","Apache Log4j","1.2.17","2015-10-15 00:00:00","","10.191.33.94","00:50:56:86:A8:23","Linux Red Hat 7.9"
"bb65ef013cca5d4f887b9a702e54c13e","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHHWCCS1APP01","log4j","1.2.17","2015-10-15 00:00:00","","10.119.250.241
138.1.0.131
192.168.32.158","FA:16:3E:A6:33:A2
FA:16:3E:DC:A4:8C
FA:16:3E:DD:60:05","Linux Red Hat 7.9"
"bb65ef013cca5d4f887b9a702e54c13e","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHHWCCS1APP01","python","2.7.5","2020-01-01 00:00:00","","10.119.250.241
138.1.0.131
192.168.32.158","FA:16:3E:A6:33:A2
FA:16:3E:DC:A4:8C
FA:16:3E:DD:60:05","Linux Red Hat 7.9"
"bb65ef013cca5d4f887b9a702e54c13e","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHHWCCS1APP01","postfix","2.10.1","2017-02-28 00:00:00","","10.119.250.241
138.1.0.131
192.168.32.158","FA:16:3E:A6:33:A2
FA:16:3E:DC:A4:8C
FA:16:3E:DD:60:05","Linux Red Hat 7.9"
"bb65ef013cca5d4f887b9a702e54c13e","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHHWCCS1APP01","python3","3.6.8","2021-12-23 00:00:00","2018-12-24 00:00:00","10.119.250.241
138.1.0.131
192.168.32.158","FA:16:3E:A6:33:A2
FA:16:3E:DC:A4:8C
FA:16:3E:DD:60:05","Linux Red Hat 7.9"
"bb65ef013cca5d4f887b9a702e54c13e","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHHWCCS1APP01","qt","4.8.7","2015-12-31 00:00:00","","10.119.250.241
138.1.0.131
192.168.32.158","FA:16:3E:A6:33:A2
FA:16:3E:DC:A4:8C
FA:16:3E:DD:60:05","Linux Red Hat 7.9"
"bb65ef013cca5d4f887b9a702e54c13e","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHHWCCS1APP01","mariadb","5.5.68","2020-04-11 00:00:00","","10.119.250.241
138.1.0.131
192.168.32.158","FA:16:3E:A6:33:A2
FA:16:3E:DC:A4:8C
FA:16:3E:DD:60:05","Linux Red Hat 7.9"
"bb65ef013cca5d4f887b9a702e54c13e","cisco_apic_adapter
deep_security_adapter
esx_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter","ITHHWCCS1APP01","tomcat","7.0.76","2021-03-31 00:00:00","","10.119.250.241
138.1.0.131
192.168.32.158","FA:16:3E:A6:33:A2
FA:16:3E:DC:A4:8C
FA:16:3E:DD:60:05","Linux Red Hat 7.9"
"dabee6149aa7a9366fc1bd83ca305796","cisco_apic_adapter
deep_security_adapter
esx_adapter
nagios_xi_adapter
nessus_adapter
paloalto_xdr_adapter
prometheus_adapter
redhat_satellite_adapter
tenable_security_center_adapter
tenable_security_center_adapter","IXVPECIAPS002","python","2.7.5.94.el7.9","2020-01-01 00:00:00","","10.191.33.95","00:50:56:86:B1:FC","Linux Red Hat 7.9"
